area,aar,hy,n_samples,sopcorr,n0,n1,n2,n3,n4,mw0,mw1,mw2,mw3,mw4,ton
7r,2020,2,,1,0,0,0,0,0,0.0037419831,0.0078110635,0.0116280686,0.0148718024,0.0156960591,0
7r,2021,2,0,0.8478476632,0.1479634166,0.1569253348,0.113837685,0.0157870679,0.0384578783,0.0031726316,0.0066225919,0.0098588308,0.0126090229,0.0133078671,0.0033418442
NA,1983,1,,1,0,0,0,0,0,0.0065522618,0.0054008225,0.0106153954,0.0160654894,0.0219478424,0
NA,1984,1,,1,0,0,0,0,0,0.0065522618,0.0054008225,0.0106153954,0.0160654894,0.0219478424,0
NA,1985,1,,1,0,0,0,0,0,0.0065522618,0.0054008225,0.0106153954,0.0160654894,0.0219478424,0
NA,1986,1,,1,0,0,0,0,0,0.0065522618,0.0054008225,0.0106153954,0.0160654894,0.0219478424,0
NA,1987,1,,1,0,0,0,0,0,0.0065522618,0.0054008225,0.0106153954,0.0160654894,0.0219478424,0
NA,1988,1,0,0.9735087056,263.99647529,436.7096623,1872.8876705,3330.4456749,514.79312682,0.0063786839,0.0052577477,0.0103341799,0.0156398938,0.0213664156,86.421917758
NA,1989,1,,1,0,0,0,0,0,0.0065522618,0.0054008225,0.0106153954,0.0160654894,0.0219478424,0
NA,1990,1,,1,0,0,0,0,0,0.0065522618,0.0054008225,0.0106153954,0.0160654894,0.0219478424,0
NA,1991,1,,1,0,0,0,0,0,0.0065522618,0.0054008225,0.0106153954,0.0160654894,0.0219478424,0
NA,1992,1,,1,0,0,0,0,0,0.0065522618,0.0054008225,0.0106153954,0.0160654894,0.0219478424,0
NA,1993,1,,1,0,0,0,0,0,0.0065522618,0.0054008225,0.0106153954,0.0160654894,0.0219478424,0
NA,1994,1,,1,0,0,0,0,0,0.0065522618,0.0054008225,0.0106153954,0.0160654894,0.0219478424,0
NA,1995,1,,1,0,0,0,0,0,0.0065522618,0.0054008225,0.0106153954,0.0160654894,0.0219478424,0
NA,1996,1,,1,0,0,0,0,0,0.0065522618,0.0054008225,0.0106153954,0.0160654894,0.0219478424,0
NA,1997,1,,1,0,0,0,0,0,0.0065522618,0.0054008225,0.0106153954,0.0160654894,0.0219478424,0
NA,1998,1,,1,0,0,0,0,0,0.0065522618,0.0054008225,0.0106153954,0.0160654894,0.0219478424,0
NA,1999,1,,1,0,0,0,0,0,0.0065522618,0.0054008225,0.0106153954,0.0160654894,0.0219478424,0
NA,2000,1,,1,0,0,0,0,0,0.0065522618,0.0054008225,0.0106153954,0.0160654894,0.0219478424,0
NA,2001,1,,1,0,0,0,0,0,0.0065522618,0.0054008225,0.0106153954,0.0160654894,0.0219478424,0
NA,2002,1,,1,0,0,0,0,0,0.0065522618,0.0054008225,0.0106153954,0.0160654894,0.0219478424,0
